tournament_id,year,country,team_id,team_code,confederation,placement,position,matches_played,gs,ga,start_elo,finish_elo,elo_change,next_edition,next_placement,next_position
WC-1982,1982,Italy,ITA,ITA,UEFA,Winner,1,7,12,6,1892,2012,120,1986,Round of 16,16
WC-1982,1982,Poland,POL,POL,UEFA,Third Place,3,7,11,5,1958,1990,32,1986,Round of 16,16
WC-1982,1982,France,FRA,FRA,UEFA,Fourth Place,4,7,16,12,1880,1926,46,1986,Third Place,3
WC-1982,1982,Germany,GER,DEU,UEFA,Semi-final,4,7,12,10,2111,2036,-75,1986,Semi-final,4
WC-1982,1982,Argentina,ARG,ARG,CONMEBOL,Quarter-final,8,5,8,7,2005,1942,-63,1986,Winner,1
WC-1982,1982,Austria,AUT,AUT,UEFA,Quarter-final,8,5,5,4,1920,1891,-29,1990,Group Stage,24
WC-1982,1982,Belgium,BEL,BEL,UEFA,Quarter-final,8,5,3,5,1916,1874,-42,1986,Fourth Place,4
WC-1982,1982,Brazil,BRA,BRA,CONMEBOL,Quarter-final,8,5,15,6,2093,2115,22,1986,Quarter-final,8
WC-1982,1982,England,ENG,ENG,UEFA,Quarter-final,8,5,6,1,1964,2029,65,1986,Quarter-final,8
WC-1982,1982,Northern Ireland,NIR,NIR,UEFA,Quarter-final,8,5,5,7,1741,1764,23,1986,Group Stage,24
WC-1982,1982,Soviet Union,SUN,SUN,UEFA,Quarter-final,8,5,7,4,2012,2008,-4,1986,Round of 16,16
WC-1982,1982,Spain,ESP,ESP,UEFA,Quarter-final,8,5,4,5,1891,1835,-56,1986,Quarter-final,8
WC-1982,1982,Algeria,DZA,DZA,CAF,Group Stage,24,3,5,5,1696,1713,17,1986,Group Stage,24
WC-1982,1982,Cameroon,CMR,CMR,CAF,Group Stage,24,3,1,1,1627,1678,51,1990,Quarter-final,8
WC-1982,1982,Chile,CHL,CHL,CONMEBOL,Group Stage,24,3,3,8,1771,1702,-69,1998,Round of 16,16
WC-1982,1982,Czechoslovakia,CSK,CSK,UEFA,Group Stage,24,3,2,4,1896,1849,-47,1990,Quarter-final,8
WC-1982,1982,El Salvador,SLV,SLV,CONCACAF,Group Stage,24,3,1,13,1608,1557,-51,,,
WC-1982,1982,Honduras,HND,HND,CONCACAF,Group Stage,24,3,2,3,1600,1623,23,2010,Group Stage,32
WC-1982,1982,Hungary,HUN,HUN,UEFA,Group Stage,24,3,12,6,1797,1815,18,1986,Group Stage,24
WC-1982,1982,Kuwait,KWT,KWT,AFC,Group Stage,24,3,2,6,1629,1618,-11,,,
WC-1982,1982,New Zealand,NZL,NZL,OFC,Group Stage,24,3,2,12,1596,1562,-34,2010,Group Stage,32
WC-1982,1982,Peru,PER,PER,CONMEBOL,Group Stage,24,3,2,6,1776,1742,-34,2018,Group Stage,32
WC-1982,1982,Scotland,SCO,SCO,UEFA,Group Stage,24,3,8,8,1840,1854,14,1986,Group Stage,24
WC-1982,1982,Yugoslavia,YUG,YUG,UEFA,Group Stage,24,3,2,2,1917,1890,-27,1990,Quarter-final,8
